price,vol,change,datename,high,low,avgla,avgsd,multtemph,addtemph,multtempl,addtempl,doy,dow,month,numt,numc,date,multtemp,addtemp,cloud,totalpayint,totalempint,totalestint,ngprice,fogsd,rainsd,raintsd,rainfsd,fogla,rainla,raintla,rainfla,cloudla,cloudsd,highla,highsd,lowla,lowsd
,,,3/1/02,,,,,,,,,,,,,,15400,,,,,,,,,,,,,,,,,,,,,
,,,3/4/02,,,,,,,,,,,,,,15403,,,,,,,,,,,,,,,,,,,,,
,,,3/5/02,,,,,,,,,,,,,,15404,,,,,,,,,,,,,,,,,,,,,
,,,3/6/02,,,,,,,,,,,,,,15405,,,,,,,,,,,,,,,,,,,,,
,,,3/7/02,,,,,,,,,,,,,,15406,,,,,,,,,,,,,,,,,,,,,
,,,3/8/02,,,,,,,,,,,,,,15407,,,,,,,,,,,,,,,,,,,,,
,,,3/11/02,,,,,,,,,,,,,,15410,,,,,,,,,,,,,,,,,,,,,
,,,3/12/02,,,,,,,,,,,,,,15411,,,,,,,,,,,,,,,,,,,,,
,,,3/13/02,,,,,,,,,,,,,,15412,,,,,,,,,,,,,,,,,,,,,
,,,3/14/02,,,,,,,,,,,,,,15413,,,,,,,,,,,,,,,,,,,,,
,,,3/15/02,,,,,,,,,,,,,,15414,,,,,,,,,,,,,,,,,,,,,
,,,3/18/02,,,,,,,,,,,,,,15417,,,,,,,,,,,,,,,,,,,,,
,,,3/19/02,,,,,,,,,,,,,,15418,,,,,,,,,,,,,,,,,,,,,
,,,3/20/02,,,,,,,,,,,,,,15419,,,,,,,,,,,,,,,,,,,,,
,,,3/21/02,,,,,,,,,,,,,,15420,,,,,,,,,,,,,,,,,,,,,
,,,3/22/02,,,,,,,,,,,,,,15421,,,,,,,,,,,,,,,,,,,,,
,,,3/25/02,,,,,,,,,,,,,,15424,,,,,,,,,,,,,,,,,,,,,
,,,3/26/02,,,,,,,,,,,,,,15425,,,,,,,,,,,,,,,,,,,,,
,,,3/27/02,,,,,,,,,,,,,,15426,,,,,,,,,,,,,,,,,,,,,
,,,3/28/02,,,,,,,,,,,,,,15427,,,,,,,,,,,,,,,,,,,,,
,,,3/29/02,,,,,,,,,,,,,,15428,,,,,,,,,,,,,,,,,,,,,
,,,4/1/02,,,,,,,,,,,,,,15431,,,,,,,,,,,,,,,,,,,,,
,,,4/2/02,,,,,,,,,,,,,,15432,,,,,,,,,,,,,,,,,,,,,
,,,4/3/02,,,,,,,,,,,,,,15433,,,,,,,,,,,,,,,,,,,,,
,,,4/4/02,,,,,,,,,,,,,,15434,,,,,,,,,,,,,,,,,,,,,
,,,4/5/02,,,,,,,,,,,,,,15435,,,,,,,,,,,,,,,,,,,,,
,,,4/8/02,,,,,,,,,,,,,,15438,,,,,,,,,,,,,,,,,,,,,
,,,4/9/02,,,,,,,,,,,,,,15439,,,,,,,,,,,,,,,,,,,,,
,,,4/10/02,,,,,,,,,,,,,,15440,,,,,,,,,,,,,,,,,,,,,
,,,4/11/02,,,,,,,,,,,,,,15441,,,,,,,,,,,,,,,,,,,,,
,,,4/12/02,,,,,,,,,,,,,,15442,,,,,,,,,,,,,,,,,,,,,
,,,4/15/02,,,,,,,,,,,,,,15445,,,,,,,,,,,,,,,,,,,,,
,,,4/18/02,,,,,,,,,,,,,,15448,,,,,,,,,,,,,,,,,,,,,
,,,4/19/02,,,,,,,,,,,,,,15449,,,,,,,,,,,,,,,,,,,,,
,,,4/22/02,,,,,,,,,,,,,,15452,,,,,,,,,,,,,,,,,,,,,
,,,4/23/02,,,,,,,,,,,,,,15453,,,,,,,,,,,,,,,,,,,,,
,,,4/24/02,,,,,,,,,,,,,,15454,,,,,,,,,,,,,,,,,,,,,
,,,4/25/02,,,,,,,,,,,,,,15455,,,,,,,,,,,,,,,,,,,,,
,,,4/26/02,,,,,,,,,,,,,,15456,,,,,,,,,,,,,,,,,,,,,
,,,4/29/02,,,,,,,,,,,,,,15459,,,,,,,,,,,,,,,,,,,,,
,,,4/30/02,,,,,,,,,,,,,,15460,,,,,,,,,,,,,,,,,,,,,
,,,5/1/02,,,,,,,,,,,,,,15461,,,,,,,,,,,,,,,,,,,,,
,,,5/2/02,,,,,,,,,,,,,,15462,,,,,,,,,,,,,,,,,,,,,
,,,5/3/02,,,,,,,,,,,,,,15463,,,,,,,,,,,,,,,,,,,,,
,,,5/6/02,,,,,,,,,,,,,,15466,,,,,,,,,,,,,,,,,,,,,
,,,5/7/02,,,,,,,,,,,,,,15467,,,,,,,,,,,,,,,,,,,,,
,,,5/8/02,,,,,,,,,,,,,,15468,,,,,,,,,,,,,,,,,,,,,
,,,5/9/02,,,,,,,,,,,,,,15469,,,,,,,,,,,,,,,,,,,,,
,,,5/10/02,,,,,,,,,,,,,,15470,,,,,,,,,,,,,,,,,,,,,
,,,5/13/02,,,,,,,,,,,,,,15473,,,,,,,,,,,,,,,,,,,,,
,,,5/14/02,,,,,,,,,,,,,,15474,,,,,,,,,,,,,,,,,,,,,
,,,5/15/02,,,,,,,,,,,,,,15475,,,,,,,,,,,,,,,,,,,,,
,,,5/16/02,,,,,,,,,,,,,,15476,,,,,,,,,,,,,,,,,,,,,
,,,5/17/02,,,,,,,,,,,,,,15477,,,,,,,,,,,,,,,,,,,,,
,,,5/20/02,,,,,,,,,,,,,,15480,,,,,,,,,,,,,,,,,,,,,
,,,5/21/02,,,,,,,,,,,,,,15481,,,,,,,,,,,,,,,,,,,,,
,,,5/22/02,,,,,,,,,,,,,,15482,,,,,,,,,,,,,,,,,,,,,
,,,5/24/02,,,,,,,,,,,,,,15484,,,,,,,,,,,,,,,,,,,,,
,,,5/28/02,,,,,,,,,,,,,,15488,,,,,,,,,,,,,,,,,,,,,
,,,5/29/02,,,,,,,,,,,,,,15489,,,,,,,,,,,,,,,,,,,,,
,,,5/30/02,,,,,,,,,,,,,,15490,,,,,,,,,,,,,,,,,,,,,
,,,5/31/02,,,,,,,,,,,,,,15491,,,,,,,,,,,,,,,,,,,,,
,,,6/3/02,,,,,,,,,,,,,,15494,,,,,,,,,,,,,,,,,,,,,
,,,6/4/02,,,,,,,,,,,,,,15495,,,,,,,,,,,,,,,,,,,,,
,,,6/5/02,,,,,,,,,,,,,,15496,,,,,,,,,,,,,,,,,,,,,
,,,6/6/02,,,,,,,,,,,,,,15497,,,,,,,,,,,,,,,,,,,,,
,,,6/7/02,,,,,,,,,,,,,,15498,,,,,,,,,,,,,,,,,,,,,
,,,6/10/02,,,,,,,,,,,,,,15501,,,,,,,,,,,,,,,,,,,,,
,,,6/11/02,,,,,,,,,,,,,,15502,,,,,,,,,,,,,,,,,,,,,
,,,6/12/02,,,,,,,,,,,,,,15503,,,,,,,,,,,,,,,,,,,,,
,,,6/13/02,,,,,,,,,,,,,,15504,,,,,,,,,,,,,,,,,,,,,
,,,6/14/02,,,,,,,,,,,,,,15505,,,,,,,,,,,,,,,,,,,,,
,,,6/17/02,,,,,,,,,,,,,,15508,,,,,,,,,,,,,,,,,,,,,
,,,6/18/02,,,,,,,,,,,,,,15509,,,,,,,,,,,,,,,,,,,,,
,,,6/19/02,,,,,,,,,,,,,,15510,,,,,,,,,,,,,,,,,,,,,
,,,6/20/02,,,,,,,,,,,,,,15511,,,,,,,,,,,,,,,,,,,,,
,,,6/21/02,,,,,,,,,,,,,,15512,,,,,,,,,,,,,,,,,,,,,
,,,6/24/02,,,,,,,,,,,,,,15515,,,,,,,,,,,,,,,,,,,,,
,,,6/25/02,,,,,,,,,,,,,,15516,,,,,,,,,,,,,,,,,,,,,
,,,6/26/02,,,,,,,,,,,,,,15517,,,,,,,,,,,,,,,,,,,,,
,,,6/27/02,,,,,,,,,,,,,,15518,,,,,,,,,,,,,,,,,,,,,
,,,6/28/02,,,,,,,,,,,,,,15519,,,,,,,,,,,,,,,,,,,,,
,,,7/1/02,,,,,,,,,,,,,,15522,,,,,,,,,,,,,,,,,,,,,
,,,7/2/02,,,,,,,,,,,,,,15523,,,,,,,,,,,,,,,,,,,,,
,,,7/3/02,,,,,,,,,,,,,,15524,,,,,,,,,,,,,,,,,,,,,
,,,7/5/02,,,,,,,,,,,,,,15526,,,,,,,,,,,,,,,,,,,,,
,,,7/8/02,,,,,,,,,,,,,,15529,,,,,,,,,,,,,,,,,,,,,
,,,7/9/02,,,,,,,,,,,,,,15530,,,,,,,,,,,,,,,,,,,,,
,,,7/10/02,,,,,,,,,,,,,,15531,,,,,,,,,,,,,,,,,,,,,
,,,7/11/02,,,,,,,,,,,,,,15532,,,,,,,,,,,,,,,,,,,,,
,,,7/12/02,,,,,,,,,,,,,,15533,,,,,,,,,,,,,,,,,,,,,
,,,7/15/02,,,,,,,,,,,,,,15536,,,,,,,,,,,,,,,,,,,,,
,,,7/16/02,,,,,,,,,,,,,,15537,,,,,,,,,,,,,,,,,,,,,
,,,7/17/02,,,,,,,,,,,,,,15538,,,,,,,,,,,,,,,,,,,,,
,,,7/18/02,,,,,,,,,,,,,,15539,,,,,,,,,,,,,,,,,,,,,
,,,7/19/02,,,,,,,,,,,,,,15540,,,,,,,,,,,,,,,,,,,,,
,,,7/22/02,,,,,,,,,,,,,,15543,,,,,,,,,,,,,,,,,,,,,
,,,7/23/02,,,,,,,,,,,,,,15544,,,,,,,,,,,,,,,,,,,,,
,,,7/24/02,,,,,,,,,,,,,,15545,,,,,,,,,,,,,,,,,,,,,
,,,7/25/02,,,,,,,,,,,,,,15546,,,,,,,,,,,,,,,,,,,,,
,,,7/26/02,,,,,,,,,,,,,,15547,,,,,,,,,,,,,,,,,,,,,
,,,7/29/02,,,,,,,,,,,,,,15550,,,,,,,,,,,,,,,,,,,,,
,,,7/30/02,,,,,,,,,,,,,,15551,,,,,,,,,,,,,,,,,,,,,
,,,7/31/02,,,,,,,,,,,,,,15552,,,,,,,,,,,,,,,,,,,,,
,,,8/1/02,,,,,,,,,,,,,,15553,,,,,,,,,,,,,,,,,,,,,
,,,8/2/02,,,,,,,,,,,,,,15554,,,,,,,,,,,,,,,,,,,,,
,,,8/5/02,,,,,,,,,,,,,,15557,,,,,,,,,,,,,,,,,,,,,
,,,8/6/02,,,,,,,,,,,,,,15558,,,,,,,,,,,,,,,,,,,,,
,,,8/7/02,,,,,,,,,,,,,,15559,,,,,,,,,,,,,,,,,,,,,
,,,8/8/02,,,,,,,,,,,,,,15560,,,,,,,,,,,,,,,,,,,,,
,,,8/9/02,,,,,,,,,,,,,,15561,,,,,,,,,,,,,,,,,,,,,
,,,8/12/02,,,,,,,,,,,,,,15564,,,,,,,,,,,,,,,,,,,,,
,,,8/13/02,,,,,,,,,,,,,,15565,,,,,,,,,,,,,,,,,,,,,
,,,8/14/02,,,,,,,,,,,,,,15566,,,,,,,,,,,,,,,,,,,,,
,,,8/15/02,,,,,,,,,,,,,,15567,,,,,,,,,,,,,,,,,,,,,
,,,8/16/02,,,,,,,,,,,,,,15568,,,,,,,,,,,,,,,,,,,,,
,,,8/19/02,,,,,,,,,,,,,,15571,,,,,,,,,,,,,,,,,,,,,
,,,8/20/02,,,,,,,,,,,,,,15572,,,,,,,,,,,,,,,,,,,,,
,,,8/21/02,,,,,,,,,,,,,,15573,,,,,,,,,,,,,,,,,,,,,
,,,8/22/02,,,,,,,,,,,,,,15574,,,,,,,,,,,,,,,,,,,,,
,,,8/23/02,,,,,,,,,,,,,,15575,,,,,,,,,,,,,,,,,,,,,
,,,8/26/02,,,,,,,,,,,,,,15578,,,,,,,,,,,,,,,,,,,,,
,,,8/27/02,,,,,,,,,,,,,,15579,,,,,,,,,,,,,,,,,,,,,
,,,8/28/02,,,,,,,,,,,,,,15580,,,,,,,,,,,,,,,,,,,,,
,,,8/29/02,,,,,,,,,,,,,,15581,,,,,,,,,,,,,,,,,,,,,
,,,8/30/02,,,,,,,,,,,,,,15582,,,,,,,,,,,,,,,,,,,,,
,,,9/3/02,,,,,,,,,,,,,,15586,,,,,,,,,,,,,,,,,,,,,
,,,9/4/02,,,,,,,,,,,,,,15587,,,,,,,,,,,,,,,,,,,,,
,,,9/5/02,,,,,,,,,,,,,,15588,,,,,,,,,,,,,,,,,,,,,
,,,9/6/02,,,,,,,,,,,,,,15589,,,,,,,,,,,,,,,,,,,,,
,,,9/9/02,,,,,,,,,,,,,,15592,,,,,,,,,,,,,,,,,,,,,
,,,9/10/02,,,,,,,,,,,,,,15593,,,,,,,,,,,,,,,,,,,,,
,,,9/11/02,,,,,,,,,,,,,,15594,,,,,,,,,,,,,,,,,,,,,
,,,9/12/02,,,,,,,,,,,,,,15595,,,,,,,,,,,,,,,,,,,,,
,,,9/13/02,,,,,,,,,,,,,,15596,,,,,,,,,,,,,,,,,,,,,
,,,9/16/02,,,,,,,,,,,,,,15599,,,,,,,,,,,,,,,,,,,,,
,,,9/17/02,,,,,,,,,,,,,,15600,,,,,,,,,,,,,,,,,,,,,
,,,9/18/02,,,,,,,,,,,,,,15601,,,,,,,,,,,,,,,,,,,,,
,,,9/19/02,,,,,,,,,,,,,,15602,,,,,,,,,,,,,,,,,,,,,
,,,9/20/02,,,,,,,,,,,,,,15603,,,,,,,,,,,,,,,,,,,,,
,,,9/23/02,,,,,,,,,,,,,,15606,,,,,,,,,,,,,,,,,,,,,
,,,9/24/02,,,,,,,,,,,,,,15607,,,,,,,,,,,,,,,,,,,,,
,,,9/25/02,,,,,,,,,,,,,,15608,,,,,,,,,,,,,,,,,,,,,
,,,9/26/02,,,,,,,,,,,,,,15609,,,,,,,,,,,,,,,,,,,,,
,,,9/27/02,,,,,,,,,,,,,,15610,,,,,,,,,,,,,,,,,,,,,
,,,9/30/02,,,,,,,,,,,,,,15613,,,,,,,,,,,,,,,,,,,,,
,,,10/1/02,,,,,,,,,,,,,,15614,,,,,,,,,,,,,,,,,,,,,
,,,10/2/02,,,,,,,,,,,,,,15615,,,,,,,,,,,,,,,,,,,,,
,,,10/3/02,,,,,,,,,,,,,,15616,,,,,,,,,,,,,,,,,,,,,
,,,10/4/02,,,,,,,,,,,,,,15617,,,,,,,,,,,,,,,,,,,,,
,,,10/7/02,,,,,,,,,,,,,,15620,,,,,,,,,,,,,,,,,,,,,
,,,10/8/02,,,,,,,,,,,,,,15621,,,,,,,,,,,,,,,,,,,,,
,,,10/9/02,,,,,,,,,,,,,,15622,,,,,,,,,,,,,,,,,,,,,
,,,10/10/02,,,,,,,,,,,,,,15623,,,,,,,,,,,,,,,,,,,,,
,,,10/11/02,,,,,,,,,,,,,,15624,,,,,,,,,,,,,,,,,,,,,
,,,10/14/02,,,,,,,,,,,,,,15627,,,,,,,,,,,,,,,,,,,,,
,,,10/15/02,,,,,,,,,,,,,,15628,,,,,,,,,,,,,,,,,,,,,
,,,10/16/02,,,,,,,,,,,,,,15629,,,,,,,,,,,,,,,,,,,,,
,,,10/17/02,,,,,,,,,,,,,,15630,,,,,,,,,,,,,,,,,,,,,
,,,10/18/02,,,,,,,,,,,,,,15631,,,,,,,,,,,,,,,,,,,,,
,,,10/21/02,,,,,,,,,,,,,,15634,,,,,,,,,,,,,,,,,,,,,
,,,10/23/02,,,,,,,,,,,,,,15636,,,,,,,,,,,,,,,,,,,,,
,,,10/24/02,,,,,,,,,,,,,,15637,,,,,,,,,,,,,,,,,,,,,
,,,10/25/02,,,,,,,,,,,,,,15638,,,,,,,,,,,,,,,,,,,,,
,,,10/28/02,,,,,,,,,,,,,,15641,,,,,,,,,,,,,,,,,,,,,
,,,10/29/02,,,,,,,,,,,,,,15642,,,,,,,,,,,,,,,,,,,,,
,,,10/30/02,,,,,,,,,,,,,,15643,,,,,,,,,,,,,,,,,,,,,
,,,10/31/02,,,,,,,,,,,,,,15644,,,,,,,,,,,,,,,,,,,,,
,,,11/1/02,,,,,,,,,,,,,,15645,,,,,,,,,,,,,,,,,,,,,
,,,11/4/02,,,,,,,,,,,,,,15648,,,,,,,,,,,,,,,,,,,,,
,,,11/5/02,,,,,,,,,,,,,,15649,,,,,,,,,,,,,,,,,,,,,
,,,11/6/02,,,,,,,,,,,,,,15650,,,,,,,,,,,,,,,,,,,,,
,,,11/7/02,,,,,,,,,,,,,,15651,,,,,,,,,,,,,,,,,,,,,
,,,11/8/02,,,,,,,,,,,,,,15652,,,,,,,,,,,,,,,,,,,,,
,,,11/12/02,,,,,,,,,,,,,,15656,,,,,,,,,,,,,,,,,,,,,
,,,11/13/02,,,,,,,,,,,,,,15657,,,,,,,,,,,,,,,,,,,,,
,,,11/14/02,,,,,,,,,,,,,,15658,,,,,,,,,,,,,,,,,,,,,
,,,11/15/02,,,,,,,,,,,,,,15659,,,,,,,,,,,,,,,,,,,,,
,,,11/18/02,,,,,,,,,,,,,,15662,,,,,,,,,,,,,,,,,,,,,
,,,11/19/02,,,,,,,,,,,,,,15663,,,,,,,,,,,,,,,,,,,,,
,,,11/20/02,,,,,,,,,,,,,,15664,,,,,,,,,,,,,,,,,,,,,
,,,11/21/02,,,,,,,,,,,,,,15665,,,,,,,,,,,,,,,,,,,,,
,,,11/22/02,,,,,,,,,,,,,,15666,,,,,,,,,,,,,,,,,,,,,
,,,11/25/02,,,,,,,,,,,,,,15669,,,,,,,,,,,,,,,,,,,,,
,,,11/26/02,,,,,,,,,,,,,,15670,,,,,,,,,,,,,,,,,,,,,
,,,11/27/02,,,,,,,,,,,,,,15671,,,,,,,,,,,,,,,,,,,,,
,,,12/2/02,,,,,,,,,,,,,,15676,,,,,,,,,,,,,,,,,,,,,
,,,12/3/02,,,,,,,,,,,,,,15677,,,,,,,,,,,,,,,,,,,,,
,,,12/4/02,,,,,,,,,,,,,,15678,,,,,,,,,,,,,,,,,,,,,
,,,12/5/02,,,,,,,,,,,,,,15679,,,,,,,,,,,,,,,,,,,,,
,,,12/6/02,,,,,,,,,,,,,,15680,,,,,,,,,,,,,,,,,,,,,
,,,12/9/02,,,,,,,,,,,,,,15683,,,,,,,,,,,,,,,,,,,,,
,,,12/10/02,,,,,,,,,,,,,,15684,,,,,,,,,,,,,,,,,,,,,
,,,12/11/02,,,,,,,,,,,,,,15685,,,,,,,,,,,,,,,,,,,,,
,,,12/12/02,,,,,,,,,,,,,,15686,,,,,,,,,,,,,,,,,,,,,
,,,12/13/02,,,,,,,,,,,,,,15687,,,,,,,,,,,,,,,,,,,,,
,,,12/16/02,,,,,,,,,,,,,,15690,,,,,,,,,,,,,,,,,,,,,
,,,12/17/02,,,,,,,,,,,,,,15691,,,,,,,,,,,,,,,,,,,,,
,,,12/18/02,,,,,,,,,,,,,,15692,,,,,,,,,,,,,,,,,,,,,
,,,12/19/02,,,,,,,,,,,,,,15693,,,,,,,,,,,,,,,,,,,,,
,,,12/20/02,,,,,,,,,,,,,,15694,,,,,,,,,,,,,,,,,,,,,
,,,12/23/02,,,,,,,,,,,,,,15697,,,,,,,,,,,,,,,,,,,,,
,,,12/24/02,,,,,,,,,,,,,,15698,,,,,,,,,,,,,,,,,,,,,
,,,12/26/02,,,,,,,,,,,,,,15700,,,,,,,,,,,,,,,,,,,,,
,,,12/27/02,,,,,,,,,,,,,,15701,,,,,,,,,,,,,,,,,,,,,
,,,12/30/02,,,,,,,,,,,,,,15704,,,,,,,,,,,,,,,,,,,,,
40.619999,,-3.35,12/31/02,44,38,,,,,,,3,6,1,34,19,15705,,,,22394932,934975,63857,4.9299998,,,,,,,,,,,,,,
45.16,,4.54,1/2/03,46.25,43.75,,,,,,,6,2,1,29,16,15707,,,,22398491.38082191,935124.2931506853,63858.63835616439,5.1300001,,,,,,,,,,,,,,
41.720001,,-3.44,1/3/03,43.5,40.75,,,,,,,7,3,1,26,16,15708,,,,22409169.52328767,935572.1726027401,63863.55342465754,4.9400001,,,,,,,,,,,,,,
43.580002,,1.86,1/6/03,44.5,42.75,,,,,,,8,4,1,30,17,15711,,,,22412728.90410959,935721.4657534249,63865.19178082192,4.8899999,,,,,,,,,,,,,,
45.91,,2.33,1/7/03,47,44.5,,,,,,,9,5,1,29,16,15712,,,,22416288.2849315,935870.7589041097,63866.8301369863,5.0700002,,,,,,,,,,,,,,
43.220001,,-2.69,1/8/03,45,42.5,,,,,,,10,6,1,16,11,15713,,,,22419847.66575342,936020.0520547945,63868.46849315069,5.0500002,,,,,,,,,,,,,,
47.759998,,4.54,1/9/03,49,46.5,,,,,,,13,2,1,29,17,15714,,,,22423407.04657534,936169.3452054798,63870.10684931507,5.1900001,,,,,,,,,,,,,,
44.779999,,-2.98,1/10/03,45.75,42,,,,,,,14,3,1,21,13,15715,,,,22434085.18904109,936617.2246575346,63875.02191780822,5.23,,,,,,,,,,,,,,
43.490002,,-1.29,1/13/03,44.5,42,,,,,,,15,4,1,38,18,15718,,,,22437644.56986301,936766.5178082194,63876.66027397261,5.25,,,,,,,,,,,,,,
42.360001,,-1.13,1/14/03,43,41.5,,,,,,,16,5,1,22,17,15719,,,,22441203.95068493,936915.8109589042,63878.29863013699,5.21,,,,,,,,,,,,,,
38.66,,-3.7,1/15/03,40.25,38,,,,,,,18,7,1,34,20,15720,,,,22444763.33150685,937065.104109589,63879.93698630137,5.5,,,,,,,,,,,,,,
47.860001,,9.199999999999999,1/16/03,48.5,46.75,,,,,,,20,2,1,28,17,15721,,,,22448322.71232877,937214.3972602743,63881.57534246576,5.6599998,,,,,,,,,,,,,,
47.169998,,-.6899999999999999,1/17/03,49.5,46,,,,,,,22,4,1,32,16,15722,,,,22462560.23561644,937811.5698630139,63888.12876712329,5.4699998,,,,,,,,,,,,,,
48.68,,1.51,1/21/03,49.75,47.5,,,,,,,23,5,1,29,16,15726,,,,22466119.61643835,937960.8630136987,63889.76712328767,5.7199998,,,,,,,,,,,,,,
46.880001,,-1.8,1/22/03,48.5,44.25,,,,,,,24,6,1,32,17,15727,,,,22469678.99726027,938110.1561643835,63891.40547945206,6.5500002,,,,,,,,,,,,,,
47.040001,,.16,1/23/03,48,46.25,,,,,,,27,2,1,29,14,15728,,,,22473238.37808219,938259.4493150688,63893.04383561644,5.9099998,,,,,,,,,,,,,,
47.029999,,-.01,1/24/03,47.900002,46,,,,,,,28,3,1,22,15,15729,,,,22483916.52054794,938707.3287671236,63897.95890410959,5.9099998,,,,,,,,,,,,,,
46.02,,-1.01,1/27/03,46.75,44.25,,,,,,,29,4,1,25,15,15732,,,,22487475.90136986,938856.6219178084,63899.59726027398,5.52,,,,,,,,,,,,,,
44.720001,,-1.3,1/28/03,45,44.349998,,,,,,,30,5,1,29,18,15733,,,,22491035.28219178,939005.9150684932,63901.23561643835,5.6100001,,,,,,,,,,,,,,
42.549999,,-2.17,1/29/03,44,41.75,,,,,,,32,7,2,32,19,15734,,,,22494594.6630137,939155.2082191785,63902.87397260274,5.7600002,,,,,,,,,,,,,,
50.279999,,7.73,1/30/03,53.5,48.5,,,,,,,34,2,2,29,15,15735,,,,22498154.04383562,939304.5013698633,63904.51232876712,5.5799999,,,,,,,,,,,,,,
50.400002,,.12,1/31/03,52.5,49.299999,,,,,,,35,3,2,42,19,15736,,,,22508832.18630137,939752.3808219181,63909.42739726028,5.71,,,,,,,,,,,,,,
54.240002,,3.84,2/3/03,55.25,53,,,,,,,36,4,2,36,21,15739,,,,22512391.56712329,939901.6739726029,63911.06575342466,6.2600002,,,,,,,,,,,,,,
54.450001,,.21,2/4/03,55.5,53.5,,,,,,,37,5,2,37,20,15740,,,,22515950.94794521,940050.9671232877,63912.70410958905,6.2199998,,,,,,,,,,,,,,
50.700001,,-3.75,2/5/03,51.25,49.5,,,,,,,38,6,2,47,19,15741,,,,22519510.32876712,940200.260273973,63914.34246575343,6.0799999,,,,,,,,,,,,,,
