doy,dow,month,highpricemwh,lowpricemwh,price,change,vol,numt,numc,date,mean_price,dm_price,highsd,avgsd,lowsd,fogsd,rainsd,raintsd,rainfsd,highla,avgla,lowla,fogla,rainla,raintla,rainfla,cloudsd,cloudla,multtemp,addtemp,predprice,cloud,datename,totalest,accommodationandfoodservices,administrativeandsupportandwaste,agricultureforestryfishingandhun,artsentertainmentandrecreation,construction,educationalservices,financeandinsurance,healthcareandsocialassistance,industriesnotclassified,information,managementofcompaniesandenterpri,manufacturing,mining,otherservicesexceptpublicadminis,professionalscientificandtechnic,realestateandrentalandleasing,retailtrade,transportationandwarehousing,utilities,wholesaletrade,totalemp,accommodationandfoodservicesempl,v25,v26,artsentertainmentandrecreationem,constructionemployees,educationalservicesemployees,financeandinsuranceemployees,healthcareandsocialassistanceemp,industriesnotclassifiedemployees,informationemployees,v34,manufacturingemployees,miningemployees,v37,v38,realestateandrentalandleasingemp,retailtradeemployees,transportationandwarehousingempl,utilitiesemployees,wholesaletradeemployees,totalpay,accommodationandfoodservicespayr,v46,v47,artsentertainmentandrecreationpa,constructionpayroll,educationalservicespayroll,financeandinsurancepayroll,healthcareandsocialassistancepay,industriesnotclassifiedpayroll,informationpayroll,v55,manufacturingpayroll,miningpayroll,v58,v59,realestateandrentalandleasingpay,retailtradepayroll,transportationandwarehousingpayr,utilitiespayroll,wholesaletradepayroll,totalpayint,totalempint,totalestint,ngprice,_merge
,,,,,,,,,,15390,,,,,,,,,,,,,,,,,,,,,,,2/19/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15391,,,,,,,,,,,,,,,,,,,,,,,2/20/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15392,,,,,,,,,,,,,,,,,,,,,,,2/21/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15393,,,,,,,,,,,,,,,,,,,,,,,2/22/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15396,,,,,,,,,,,,,,,,,,,,,,,2/25/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15397,,,,,,,,,,,,,,,,,,,,,,,2/26/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15398,,,,,,,,,,,,,,,,,,,,,,,2/27/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15399,,,,,,,,,,,,,,,,,,,,,,,2/28/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15400,,,,,,,,,,,,,,,,,,,,,,,3/1/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15403,,,,,,,,,,,,,,,,,,,,,,,3/4/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15404,,,,,,,,,,,,,,,,,,,,,,,3/5/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15405,,,,,,,,,,,,,,,,,,,,,,,3/6/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15406,,,,,,,,,,,,,,,,,,,,,,,3/7/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15407,,,,,,,,,,,,,,,,,,,,,,,3/8/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15410,,,,,,,,,,,,,,,,,,,,,,,3/11/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15411,,,,,,,,,,,,,,,,,,,,,,,3/12/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15412,,,,,,,,,,,,,,,,,,,,,,,3/13/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15413,,,,,,,,,,,,,,,,,,,,,,,3/14/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15414,,,,,,,,,,,,,,,,,,,,,,,3/15/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15417,,,,,,,,,,,,,,,,,,,,,,,3/18/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15418,,,,,,,,,,,,,,,,,,,,,,,3/19/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15419,,,,,,,,,,,,,,,,,,,,,,,3/20/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15420,,,,,,,,,,,,,,,,,,,,,,,3/21/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15421,,,,,,,,,,,,,,,,,,,,,,,3/22/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15424,,,,,,,,,,,,,,,,,,,,,,,3/25/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15425,,,,,,,,,,,,,,,,,,,,,,,3/26/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15426,,,,,,,,,,,,,,,,,,,,,,,3/27/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15427,,,,,,,,,,,,,,,,,,,,,,,3/28/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15428,,,,,,,,,,,,,,,,,,,,,,,3/29/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15431,,,,,,,,,,,,,,,,,,,,,,,4/1/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15432,,,,,,,,,,,,,,,,,,,,,,,4/2/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15433,,,,,,,,,,,,,,,,,,,,,,,4/3/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15434,,,,,,,,,,,,,,,,,,,,,,,4/4/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15435,,,,,,,,,,,,,,,,,,,,,,,4/5/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15438,,,,,,,,,,,,,,,,,,,,,,,4/8/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15439,,,,,,,,,,,,,,,,,,,,,,,4/9/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15440,,,,,,,,,,,,,,,,,,,,,,,4/10/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15441,,,,,,,,,,,,,,,,,,,,,,,4/11/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15442,,,,,,,,,,,,,,,,,,,,,,,4/12/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15445,,,,,,,,,,,,,,,,,,,,,,,4/15/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15448,,,,,,,,,,,,,,,,,,,,,,,4/18/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15449,,,,,,,,,,,,,,,,,,,,,,,4/19/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15452,,,,,,,,,,,,,,,,,,,,,,,4/22/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15453,,,,,,,,,,,,,,,,,,,,,,,4/23/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15454,,,,,,,,,,,,,,,,,,,,,,,4/24/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15455,,,,,,,,,,,,,,,,,,,,,,,4/25/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15456,,,,,,,,,,,,,,,,,,,,,,,4/26/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15459,,,,,,,,,,,,,,,,,,,,,,,4/29/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15460,,,,,,,,,,,,,,,,,,,,,,,4/30/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15461,,,,,,,,,,,,,,,,,,,,,,,5/1/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15462,,,,,,,,,,,,,,,,,,,,,,,5/2/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15463,,,,,,,,,,,,,,,,,,,,,,,5/3/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15466,,,,,,,,,,,,,,,,,,,,,,,5/6/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15467,,,,,,,,,,,,,,,,,,,,,,,5/7/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15468,,,,,,,,,,,,,,,,,,,,,,,5/8/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15469,,,,,,,,,,,,,,,,,,,,,,,5/9/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15470,,,,,,,,,,,,,,,,,,,,,,,5/10/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15473,,,,,,,,,,,,,,,,,,,,,,,5/13/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15474,,,,,,,,,,,,,,,,,,,,,,,5/14/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15475,,,,,,,,,,,,,,,,,,,,,,,5/15/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15476,,,,,,,,,,,,,,,,,,,,,,,5/16/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15477,,,,,,,,,,,,,,,,,,,,,,,5/17/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15480,,,,,,,,,,,,,,,,,,,,,,,5/20/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15481,,,,,,,,,,,,,,,,,,,,,,,5/21/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15482,,,,,,,,,,,,,,,,,,,,,,,5/22/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15484,,,,,,,,,,,,,,,,,,,,,,,5/24/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15488,,,,,,,,,,,,,,,,,,,,,,,5/28/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15489,,,,,,,,,,,,,,,,,,,,,,,5/29/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15490,,,,,,,,,,,,,,,,,,,,,,,5/30/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15491,,,,,,,,,,,,,,,,,,,,,,,5/31/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15494,,,,,,,,,,,,,,,,,,,,,,,6/3/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15495,,,,,,,,,,,,,,,,,,,,,,,6/4/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15496,,,,,,,,,,,,,,,,,,,,,,,6/5/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15497,,,,,,,,,,,,,,,,,,,,,,,6/6/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15498,,,,,,,,,,,,,,,,,,,,,,,6/7/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15501,,,,,,,,,,,,,,,,,,,,,,,6/10/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
,,,,,,,,,,15502,,,,,,,,,,,,,,,,,,,,,,,6/11/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
