,doy,dow,month,highpricemwh,lowpricemwh,price,change,vol,numt,numc,date,mean_price,dm_price,highsd,avgsd,lowsd,fogsd,rainsd,raintsd,rainfsd,highla,avgla,lowla,fogla,rainla,raintla,rainfla,cloudsd,cloudla,multtemp,addtemp,predprice,cloud,datename,totalest,accommodationandfoodservices,administrativeandsupportandwaste,agricultureforestryfishingandhun,artsentertainmentandrecreation,construction,educationalservices,financeandinsurance,healthcareandsocialassistance,industriesnotclassified,information,managementofcompaniesandenterpri,manufacturing,mining,otherservicesexceptpublicadminis,professionalscientificandtechnic,realestateandrentalandleasing,retailtrade,transportationandwarehousing,utilities,wholesaletrade,totalemp,accommodationandfoodservicesempl,v25,v26,artsentertainmentandrecreationem,constructionemployees,educationalservicesemployees,financeandinsuranceemployees,healthcareandsocialassistanceemp,industriesnotclassifiedemployees,informationemployees,v34,manufacturingemployees,miningemployees,v37,v38,realestateandrentalandleasingemp,retailtradeemployees,transportationandwarehousingempl,utilitiesemployees,wholesaletradeemployees,totalpay,accommodationandfoodservicespayr,v46,v47,artsentertainmentandrecreationpa,constructionpayroll,educationalservicespayroll,financeandinsurancepayroll,healthcareandsocialassistancepay,industriesnotclassifiedpayroll,informationpayroll,v55,manufacturingpayroll,miningpayroll,v58,v59,realestateandrentalandleasingpay,retailtradepayroll,transportationandwarehousingpayr,utilitiespayroll,wholesaletradepayroll,totalpayint,totalempint,totalestint,ngprice,_merge,monthly_average
10,,,,,,,,,,,15356.0,,,,,,,,,,,,,,,,,,,,,,,1/16/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
11,,,,,,,,,,,15357.0,,,,,,,,,,,,,,,,,,,,,,,1/17/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
12,,,,,,,,,,,15358.0,,,,,,,,,,,,,,,,,,,,,,,1/18/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
13,,,,,,,,,,,15361.0,,,,,,,,,,,,,,,,,,,,,,,1/21/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
14,,,,,,,,,,,15362.0,,,,,,,,,,,,,,,,,,,,,,,1/22/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
15,,,,,,,,,,,15363.0,,,,,,,,,,,,,,,,,,,,,,,1/23/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
16,,,,,,,,,,,15364.0,,,,,,,,,,,,,,,,,,,,,,,1/24/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
17,,,,,,,,,,,15365.0,,,,,,,,,,,,,,,,,,,,,,,1/25/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
18,,,,,,,,,,,15368.0,,,,,,,,,,,,,,,,,,,,,,,1/28/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
19,,,,,,,,,,,15369.0,,,,,,,,,,,,,,,,,,,,,,,1/29/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
20,,,,,,,,,,,15370.0,,,,,,,,,,,,,,,,,,,,,,,1/30/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
21,,,,,,,,,,,15371.0,,,,,,,,,,,,,,,,,,,,,,,1/31/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
22,,,,,,,,,,,15372.0,,,,,,,,,,,,,,,,,,,,,,,2/1/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
23,,,,,,,,,,,15375.0,,,,,,,,,,,,,,,,,,,,,,,2/4/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
24,,,,,,,,,,,15376.0,,,,,,,,,,,,,,,,,,,,,,,2/5/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
25,,,,,,,,,,,15377.0,,,,,,,,,,,,,,,,,,,,,,,2/6/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
26,,,,,,,,,,,15378.0,,,,,,,,,,,,,,,,,,,,,,,2/7/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
27,,,,,,,,,,,15379.0,,,,,,,,,,,,,,,,,,,,,,,2/8/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
28,,,,,,,,,,,15382.0,,,,,,,,,,,,,,,,,,,,,,,2/11/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
29,,,,,,,,,,,15383.0,,,,,,,,,,,,,,,,,,,,,,,2/12/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
30,,,,,,,,,,,15384.0,,,,,,,,,,,,,,,,,,,,,,,2/13/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
31,,,,,,,,,,,15385.0,,,,,,,,,,,,,,,,,,,,,,,2/14/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
32,,,,,,,,,,,15386.0,,,,,,,,,,,,,,,,,,,,,,,2/15/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
33,,,,,,,,,,,15390.0,,,,,,,,,,,,,,,,,,,,,,,2/19/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
34,,,,,,,,,,,15391.0,,,,,,,,,,,,,,,,,,,,,,,2/20/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
35,,,,,,,,,,,15392.0,,,,,,,,,,,,,,,,,,,,,,,2/21/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
36,,,,,,,,,,,15393.0,,,,,,,,,,,,,,,,,,,,,,,2/22/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
37,,,,,,,,,,,15396.0,,,,,,,,,,,,,,,,,,,,,,,2/25/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
38,,,,,,,,,,,15397.0,,,,,,,,,,,,,,,,,,,,,,,2/26/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
39,,,,,,,,,,,15398.0,,,,,,,,,,,,,,,,,,,,,,,2/27/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
40,,,,,,,,,,,15399.0,,,,,,,,,,,,,,,,,,,,,,,2/28/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
41,,,,,,,,,,,15400.0,,,,,,,,,,,,,,,,,,,,,,,3/1/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
42,,,,,,,,,,,15403.0,,,,,,,,,,,,,,,,,,,,,,,3/4/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
43,,,,,,,,,,,15404.0,,,,,,,,,,,,,,,,,,,,,,,3/5/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
44,,,,,,,,,,,15405.0,,,,,,,,,,,,,,,,,,,,,,,3/6/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
45,,,,,,,,,,,15406.0,,,,,,,,,,,,,,,,,,,,,,,3/7/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
46,,,,,,,,,,,15407.0,,,,,,,,,,,,,,,,,,,,,,,3/8/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
47,,,,,,,,,,,15410.0,,,,,,,,,,,,,,,,,,,,,,,3/11/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
48,,,,,,,,,,,15411.0,,,,,,,,,,,,,,,,,,,,,,,3/12/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
49,,,,,,,,,,,15412.0,,,,,,,,,,,,,,,,,,,,,,,3/13/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
50,,,,,,,,,,,15413.0,,,,,,,,,,,,,,,,,,,,,,,3/14/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
51,,,,,,,,,,,15414.0,,,,,,,,,,,,,,,,,,,,,,,3/15/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
52,,,,,,,,,,,15417.0,,,,,,,,,,,,,,,,,,,,,,,3/18/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
53,,,,,,,,,,,15418.0,,,,,,,,,,,,,,,,,,,,,,,3/19/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
54,,,,,,,,,,,15419.0,,,,,,,,,,,,,,,,,,,,,,,3/20/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
55,,,,,,,,,,,15420.0,,,,,,,,,,,,,,,,,,,,,,,3/21/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
56,,,,,,,,,,,15421.0,,,,,,,,,,,,,,,,,,,,,,,3/22/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
57,,,,,,,,,,,15424.0,,,,,,,,,,,,,,,,,,,,,,,3/25/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
58,,,,,,,,,,,15425.0,,,,,,,,,,,,,,,,,,,,,,,3/26/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
59,,,,,,,,,,,15426.0,,,,,,,,,,,,,,,,,,,,,,,3/27/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
60,,,,,,,,,,,15427.0,,,,,,,,,,,,,,,,,,,,,,,3/28/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
61,,,,,,,,,,,15428.0,,,,,,,,,,,,,,,,,,,,,,,3/29/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
62,,,,,,,,,,,15431.0,,,,,,,,,,,,,,,,,,,,,,,4/1/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
63,,,,,,,,,,,15432.0,,,,,,,,,,,,,,,,,,,,,,,4/2/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
64,,,,,,,,,,,15433.0,,,,,,,,,,,,,,,,,,,,,,,4/3/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
65,,,,,,,,,,,15434.0,,,,,,,,,,,,,,,,,,,,,,,4/4/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
66,,,,,,,,,,,15435.0,,,,,,,,,,,,,,,,,,,,,,,4/5/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
67,,,,,,,,,,,15438.0,,,,,,,,,,,,,,,,,,,,,,,4/8/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
68,,,,,,,,,,,15439.0,,,,,,,,,,,,,,,,,,,,,,,4/9/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
69,,,,,,,,,,,15440.0,,,,,,,,,,,,,,,,,,,,,,,4/10/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
70,,,,,,,,,,,15441.0,,,,,,,,,,,,,,,,,,,,,,,4/11/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
71,,,,,,,,,,,15442.0,,,,,,,,,,,,,,,,,,,,,,,4/12/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
72,,,,,,,,,,,15445.0,,,,,,,,,,,,,,,,,,,,,,,4/15/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
73,,,,,,,,,,,15448.0,,,,,,,,,,,,,,,,,,,,,,,4/18/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
74,,,,,,,,,,,15449.0,,,,,,,,,,,,,,,,,,,,,,,4/19/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
75,,,,,,,,,,,15452.0,,,,,,,,,,,,,,,,,,,,,,,4/22/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
76,,,,,,,,,,,15453.0,,,,,,,,,,,,,,,,,,,,,,,4/23/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
77,,,,,,,,,,,15454.0,,,,,,,,,,,,,,,,,,,,,,,4/24/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
78,,,,,,,,,,,15455.0,,,,,,,,,,,,,,,,,,,,,,,4/25/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
79,,,,,,,,,,,15456.0,,,,,,,,,,,,,,,,,,,,,,,4/26/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
80,,,,,,,,,,,15459.0,,,,,,,,,,,,,,,,,,,,,,,4/29/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
81,,,,,,,,,,,15460.0,,,,,,,,,,,,,,,,,,,,,,,4/30/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
82,,,,,,,,,,,15461.0,,,,,,,,,,,,,,,,,,,,,,,5/1/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
83,,,,,,,,,,,15462.0,,,,,,,,,,,,,,,,,,,,,,,5/2/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
84,,,,,,,,,,,15463.0,,,,,,,,,,,,,,,,,,,,,,,5/3/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
85,,,,,,,,,,,15466.0,,,,,,,,,,,,,,,,,,,,,,,5/6/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
86,,,,,,,,,,,15467.0,,,,,,,,,,,,,,,,,,,,,,,5/7/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
87,,,,,,,,,,,15468.0,,,,,,,,,,,,,,,,,,,,,,,5/8/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
88,,,,,,,,,,,15469.0,,,,,,,,,,,,,,,,,,,,,,,5/9/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
89,,,,,,,,,,,15470.0,,,,,,,,,,,,,,,,,,,,,,,5/10/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
90,,,,,,,,,,,15473.0,,,,,,,,,,,,,,,,,,,,,,,5/13/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
91,,,,,,,,,,,15474.0,,,,,,,,,,,,,,,,,,,,,,,5/14/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
92,,,,,,,,,,,15475.0,,,,,,,,,,,,,,,,,,,,,,,5/15/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
93,,,,,,,,,,,15476.0,,,,,,,,,,,,,,,,,,,,,,,5/16/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
94,,,,,,,,,,,15477.0,,,,,,,,,,,,,,,,,,,,,,,5/17/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
95,,,,,,,,,,,15480.0,,,,,,,,,,,,,,,,,,,,,,,5/20/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
96,,,,,,,,,,,15481.0,,,,,,,,,,,,,,,,,,,,,,,5/21/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
97,,,,,,,,,,,15482.0,,,,,,,,,,,,,,,,,,,,,,,5/22/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
98,,,,,,,,,,,15484.0,,,,,,,,,,,,,,,,,,,,,,,5/24/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
99,,,,,,,,,,,15488.0,,,,,,,,,,,,,,,,,,,,,,,5/28/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
100,,,,,,,,,,,15489.0,,,,,,,,,,,,,,,,,,,,,,,5/29/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
101,,,,,,,,,,,15490.0,,,,,,,,,,,,,,,,,,,,,,,5/30/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
102,,,,,,,,,,,15491.0,,,,,,,,,,,,,,,,,,,,,,,5/31/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1),0.0
